央视频道,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2财经,http://120.211.119.222:8899/hls/2/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-3综艺,http://120.211.119.222:8899/hls/3/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4中文国际,http://120.211.119.222:8899/hls/4/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5体育,http://120.211.119.222:8899/hls/5/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-6电影,http://120.211.119.222:8899/hls/6/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-7军事·农业,http://120.211.119.222:8899/hls/7/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-8电视剧,http://120.211.119.222:8899/hls/8/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-9纪录,http://120.211.119.222:8899/hls/9/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-10科教,http://120.211.119.222:8899/hls/10/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-11戏曲,http://120.211.119.222:8899/hls/11/index.m3u8#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV-12社会与法,http://120.211.119.222:8899/hls/12/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV-13新闻,http://120.211.119.222:8899/hls/13/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14少儿,http://120.211.119.222:8899/hls/14/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
河北卫视,http://120.211.119.222:8899/hls/18/index.m3u8#http://222.243.24.142:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.211.119.222:8899/hls/19/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
江苏卫视,http://120.211.119.222:8899/hls/20/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
北京卫视,http://120.211.119.222:8899/hls/21/index.m3u8#http://60.223.255.188:9901/tsfile/live/0124_1.m3u8
天津卫视,http://120.211.119.222:8899/hls/22/index.m3u8#http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829313317020.m3u8
深圳卫视,http://120.211.119.222:8899/hls/23/index.m3u8#https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_2.stream/chunklist.m3u8
山东卫视,http://120.211.119.222:8899/hls/24/index.m3u8#http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
广东卫视,http://120.211.119.222:8899/hls/25/index.m3u8#http://60.223.255.188:9901/tsfile/live/0116_1.m3u8
浙江卫视,http://120.211.119.222:8899/hls/26/index.m3u8#http://60.223.255.188:9901/tsfile/live/0140_1.m3u8
黑龙卫视,http://120.211.119.222:8899/hls/27/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
辽宁卫视,http://120.211.119.222:8899/hls/28/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
安徽卫视,http://120.211.119.222:8899/hls/29/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
湖北卫视,http://120.211.119.222:8899/hls/30/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
四川卫视,http://120.211.119.222:8899/hls/31/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
东方卫视,http://120.211.119.222:8899/hls/32/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
重庆卫视,http://120.211.119.222:8899/hls/33/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
东南卫视,http://120.211.119.222:8899/hls/34/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
吉林卫视,http://120.211.119.222:8899/hls/35/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
